gene_name,gene_id_x,transcript_id,exon_coverage,CDS_coverage,start,end,nucleotide_count,variant_count
SEL1L3,ENSG00000091490,ENST00000399878,45,51,25749055,25864581,115527,114
LOH12CR1,ENSG00000165714,ENST00000314565,45,60,12510055,12619840,109786,114
FAM222B,ENSG00000173065,ENST00000341217,22,45,27082996,27169841,86846,114
RFC1,ENSG00000035928,ENST00000381897,46,52,39289076,39367995,78920,114
TCAIM,ENSG00000179152,ENST00000342649,41,53,44379944,44450943,71000,114
PHACTR4,ENSG00000204138,ENST00000373836,51,61,28764682,28826820,62139,114
DNAJC24,ENSG00000170946,ENST00000465995,18,31,31391387,31453396,62010,114
ASAP3,ENSG00000088280,ENST00000336689,60,61,23755056,23810671,55616,114
GALNT15,ENSG00000131386,ENST00000339732,52,63,16216156,16271253,55098,114
PLD3,ENSG00000105223,ENST00000409587,41,54,40854592,40884390,29799,114
TRANK1,ENSG00000168016,ENST00000429976,36,47,36868311,36986548,118238,113
QSER1,ENSG00000060749,ENST00000399302,45,56,32914724,33001812,87089,113
C9,ENSG00000113600,ENST00000263408,76,78,39284364,39364662,80299,113
RTN4,ENSG00000115310,ENST00000337526,44,53,55199325,55277680,78356,113
THEGL,ENSG00000249693,ENST00000512175,18,23,57396775,57469673,72899,113
ADAM17,ENSG00000151694,ENST00000310823,35,49,9628615,9695917,67303,113
RPN2,ENSG00000118705,ENST00000237530,70,73,35807449,35870022,62574,113
MTF1,ENSG00000188786,ENST00000373036,44,57,38275239,38325292,50054,113
ACAP3,ENSG00000131584,ENST00000354700,40,42,1227756,1243398,15643,113
CDH10,ENSG00000040731,ENST00000264463,44,59,24487209,24645087,157879,112
SNRPN,ENSG00000128739,ENST00000400100,47,63,25068794,25223729,154936,112
CLCN4,ENSG00000073464,ENST00000380833,48,59,10125024,10205700,80677,112
C8A,ENSG00000157131,ENST00000361249,76,82,57320479,57383894,63416,112
MINOS1-NBL1,ENSG00000270136,ENST00000602662,37,47,19923473,19984549,61077,112
HLF,ENSG00000108924,ENST00000226067,36,68,53342373,53402426,60054,112
TAMM41,ENSG00000144559,ENST00000273037,44,58,11831916,11888393,56478,112
ARID3A,ENSG00000116017,ENST00000263620,29,44,926000,975939,49940,112
POTEH,ENSG00000198062,ENST00000343518,20,24,16256441,16287937,31497,112
EYA2,ENSG00000064655,ENST00000327619,53,66,45523263,45817492,294230,111
PIR,ENSG00000087842,ENST00000380421,39,52,15402921,15511687,108767,111
PDK3,ENSG00000067992,ENST00000441463,28,33,24483573,24557954,74382,111
KIF17,ENSG00000117245,ENST00000247986,69,79,20990509,21044510,54002,111
STARD3NL,ENSG00000010270,ENST00000009041,45,64,38217824,38270272,52449,111
SLC47A1,ENSG00000142494,ENST00000270570,60,65,19437167,19482347,45181,111
UVSSA,ENSG00000163945,ENST00000389851,45,58,1341104,1381732,40629,111
DMRT3,ENSG00000064218,ENST00000190165,42,60,976964,991731,14768,111
KIAA0319L,ENSG00000142687,ENST00000325722,54,64,35899091,36023014,123924,110
C12orf40,ENSG00000180116,ENST00000324616,37,40,40019985,40115716,95732,110
GFRAL,ENSG00000187871,ENST00000340465,46,53,55192267,55267291,75025,110
ECE1,ENSG00000117298,ENST00000374893,73,77,21546352,21616982,70631,110
DNAJC11,ENSG00000007923,ENST00000377577,59,65,6694228,6761984,67757,110
TMEM110-MUSTN1,ENSG00000248592,ENST00000504329,43,51,52867166,52931578,64413,110
CSF2RA,ENSG00000198223,ENST00000417535,86,94,1401571,1428828,27258,110
ATAD3A,ENSG00000197785,ENST00000378755,56,58,1447555,1470065,22511,110
WASF2,ENSG00000158195,ENST00000430629,52,69,27730730,27816669,85940,109
TPTE2,ENSG00000132958,ENST00000400230,51,52,19997023,20077419,80397,109
PER3,ENSG00000049246,ENST00000361923,53,58,7844763,7905237,60475,109
NBPF1,ENSG00000219481,ENST00000430580,55,70,16888814,16939982,51169,109
BMP1,ENSG00000168487,ENST00000306385,56,58,22022249,22069839,47591,109
ZNF254,ENSG00000213096,ENST00000357002,37,49,24269995,24312654,42660,109
TMEM204,ENSG00000131634,ENST00000566264,27,57,1583574,1605581,22008,109
ARMC3,ENSG00000165309,ENST00000298032,40,47,23216953,23326516,109564,108
EIF2AK4,ENSG00000128829,ENST00000263791,52,55,40226354,40327791,101438,108
SYNRG,ENSG00000006114,ENST00000339208,54,58,35874900,35969544,94645,108
ZBTB40,ENSG00000184677,ENST00000404138,70,86,22778344,22857650,79307,108
RP11-865B13.1,ENSG00000265944,ENST00000584361,16,24,6511415,6590652,79238,108
SCAF4,ENSG00000156304,ENST00000286835,49,54,33043346,33104388,61043,108
ACKR2,ENSG00000144648,ENST00000422265,16,74,42850968,42908775,57808,108
MAPRE3,ENSG00000084764,ENST00000233121,31,64,27193480,27250064,56585,108
RNF125,ENSG00000101695,ENST00000217740,42,54,29598335,29653176,54842,108
GOLPH3,ENSG00000113384,ENST00000265070,37,44,32124810,32174456,49647,108
CA5B,ENSG00000169239,ENST00000318636,28,44,15756393,15805747,49355,108
FAM110B,ENSG00000169122,ENST00000361488,1,65,58907113,59061347,154235,107
SAMSN1,ENSG00000155307,ENST00000285670,43,59,15857549,15955723,98175,107
XYLB,ENSG00000093217,ENST00000207870,61,62,38388270,38456467,68198,107
EMID1,ENSG00000186998,ENST00000334018,42,43,29601840,29655586,53747,107
AP3D1,ENSG00000065000,ENST00000355272,54,58,2100993,2151540,50548,107
CDK8,ENSG00000132964,ENST00000381527,49,53,26828276,26979375,151100,106
SNX13,ENSG00000071189,ENST00000428135,30,35,17830385,17980117,149733,106
DERA,ENSG00000023697,ENST00000428559,31,33,16064106,16190220,126115,106
TRIM37,ENSG00000108395,ENST00000262294,64,68,57075563,57184082,108520,106
CCDC3,ENSG00000151468,ENST00000378825,25,57,12938627,13043697,105071,106
SYTL5,ENSG00000147041,ENST00000456733,38,41,37892787,37988072,95286,106
IDO2,ENSG00000188676,ENST00000502986,29,39,39792474,39873910,81437,106
FYCO1,ENSG00000163820,ENST00000296137,71,86,45959396,46037307,77912,106
YPEL2,ENSG00000175155,ENST00000312655,31,60,57409063,57479090,70028,106
DHRS7B,ENSG00000109016,ENST00000395511,49,61,21029965,21095343,65379,106
RHCE,ENSG00000188672,ENST00000294413,74,80,25688740,25747336,58597,106
GALNT1,ENSG00000141429,ENST00000269195,45,50,33234524,33291798,57275,106
AGBL2,ENSG00000165923,ENST00000525123,56,62,47681143,47736912,55770,106
HADHA,ENSG00000084754,ENST00000380649,76,86,26413504,26467594,54091,106
TMEM178A,ENSG00000152154,ENST00000281961,41,46,39893059,39945103,52045,106
GRIK3,ENSG00000163873,ENST00000373091,57,61,37261128,37499726,238599,105
TNRC6B,ENSG00000100354,ENST00000454349,42,46,40573929,40731811,157883,105
TESK2,ENSG00000070759,ENST00000372086,55,67,45809555,45956838,147284,105
ERI3,ENSG00000117419,ENST00000372257,48,55,44686742,44820880,134139,105
KAT2B,ENSG00000114166,ENST00000263754,46,53,20081515,20195896,114382,105
DPY19L2,ENSG00000177990,ENST00000324472,33,40,63952693,64062357,109665,105
DPY19L3,ENSG00000178904,ENST00000342179,47,53,32897031,32976795,79765,105
CSTF3,ENSG00000176102,ENST00000323959,38,45,33106130,33183011,76882,105
GRAP2,ENSG00000100351,ENST00000344138,49,64,40297086,40369725,72640,105
SLC14A2,ENSG00000132874,ENST00000255226,56,63,43194766,43263072,68307,105
LANCL2,ENSG00000132434,ENST00000254770,46,54,55433141,55501435,68295,105
SLC22A25,ENSG00000196600,ENST00000306494,48,56,62931248,62997124,65877,105
ZNF540,ENSG00000171817,ENST00000592533,28,55,38042308,38104996,62689,105
TMEM110,ENSG00000213533,ENST00000355083,47,55,52870772,52931612,60841,105
PRR5,ENSG00000186654,ENST00000403581,51,56,45072965,45133561,60597,105
SEL1L2,ENSG00000101251,ENST00000378072,48,51,13830049,13971262,141214,104
TTC7A,ENSG00000068724,ENST00000319190,55,62,47168313,47303274,134962,104
MACC1,ENSG00000183742,ENST00000400331,23,63,20174278,20257013,82736,104
SRPX,ENSG00000101955,ENST00000378533,37,37,38008592,38080152,71561,104
SLC5A1,ENSG00000100170,ENST00000266088,83,88,32439019,32509016,69998,104
PPM1B,ENSG00000138032,ENST00000282412,40,54,44396016,44458611,62596,104
ACOT9,ENSG00000123130,ENST00000379303,44,45,23720370,23761390,41021,104
KIAA1671,ENSG00000197077,ENST00000358431,18,25,25423941,25593411,169471,103
RNF165,ENSG00000141622,ENST00000269439,49,55,43914187,44043103,128917,103
BRCA2,ENSG00000139618,ENST00000544455,59,62,32889617,32973805,84189,103
RFFL,ENSG00000092871,ENST00000315249,41,59,33333009,33416338,83330,103
C7,ENSG00000112936,ENST00000313164,35,42,40909354,40983041,73688,103
RAB27A,ENSG00000069974,ENST00000396307,53,83,55495164,55562592,67429,103
KCNAB2,ENSG00000069424,ENST00000378083,55,58,6105981,6161239,55259,103
AFG3L2,ENSG00000141385,ENST00000269143,68,71,12328943,12377313,48371,103
PPM1E,ENSG00000175175,ENST00000308249,38,64,56833230,57058983,225754,102
SRBD1,ENSG00000068784,ENST00000263736,51,59,45615819,45838420,222602,102
LRRC9,ENSG00000131951,ENST00000445360,14,16,60386431,60530277,143847,102
ARHGEF10,ENSG00000104728,ENST00000349830,75,80,1772142,1906799,134658,102
RTDR1,ENSG00000100218,ENST00000216036,33,51,23401593,23484280,82688,102
PPP2R2A,ENSG00000221914,ENST00000315985,44,50,26150732,26228402,77671,102
TDRD12,ENSG00000173809,ENST00000421545,26,28,33210979,33281714,70736,102
SUSD5,ENSG00000173705,ENST00000309558,35,44,33191537,33260707,69171,102
AF165138.7,ENSG00000243440,ENST00000400562,15,21,15966041,16031142,65102,102
KDM4A,ENSG00000066135,ENST00000372396,50,68,44115829,44171186,55358,102
ABCG1,ENSG00000160179,ENST00000361802,56,61,43639228,43717354,78127,101
IL17RD,ENSG00000144730,ENST00000296318,40,47,57124010,57199403,75394,101
NETO2,ENSG00000171208,ENST00000562435,60,68,47111614,47177908,66295,101
COG7,ENSG00000168434,ENST00000307149,61,77,23399814,23464501,64688,101
HGSNAT,ENSG00000165102,ENST00000379644,46,49,42995598,43057998,62401,101
ZFAND4,ENSG00000172671,ENST00000344646,39,51,46111043,46167796,56754,101
ZNF763,ENSG00000267179,ENST00000590798,49,65,12035890,12090105,54216,101
SUGP1,ENSG00000105705,ENST00000247001,58,63,19387320,19431653,44334,101
GCKR,ENSG00000084734,ENST00000264717,83,84,27719709,27746551,26843,101
SFMBT1,ENSG00000163935,ENST00000394752,44,59,52937588,53080084,142497,100
KIDINS220,ENSG00000134313,ENST00000256707,53,57,8868987,8977755,108769,100
COG6,ENSG00000133103,ENST00000455146,60,62,40229814,40326769,96956,100
RANBP9,ENSG00000010017,ENST00000011619,47,53,13621730,13711796,90067,100
FAM182B,ENSG00000175170,ENST00000376403,17,53,25754654,25843837,89184,100
TIMP3,ENSG00000100234,ENST00000266085,26,71,33197687,33259030,61344,100
ARFGAP3,ENSG00000242247,ENST00000263245,46,51,43192508,43253408,60901,100
DFNA5,ENSG00000105928,ENST00000342947,70,83,24737972,24797732,59761,100
NUCB2,ENSG00000070081,ENST00000529010,35,48,17298312,17353758,55447,100
SOCS7,ENSG00000174111,ENST00000577233,45,52,36508128,36556019,47892,100
RBM10,ENSG00000182872,ENST00000377604,58,63,47004268,47046210,41943,100
CTD-2116N17.1,ENSG00000259316,ENST00000606793,41,52,64473387,64665911,192525,99
C12orf56,ENSG00000185306,ENST00000333722,27,35,64660766,64784471,123706,99
AQR,ENSG00000021776,ENST00000156471,47,49,35147732,35262040,114309,99
ERN1,ENSG00000178607,ENST00000433197,40,42,62116502,62207485,90984,99
PPARD,ENSG00000112033,ENST00000311565,40,58,35310391,35395955,85565,99
KPNA6,ENSG00000025800,ENST00000373625,55,62,32573639,32642169,68531,99
FBXO16,ENSG00000214050,ENST00000380254,47,58,28285929,28347835,61907,99
TMEM132E,ENSG00000181291,ENST00000321639,45,49,32907768,32966337,58570,99
RHD,ENSG00000187010,ENST00000328664,63,69,25598884,25656936,58053,99
SCG5,ENSG00000166922,ENST00000300175,33,56,32933877,32989299,55423,99
GOSR1,ENSG00000108587,ENST00000225724,47,53,28804380,28854610,50231,99
NAPB,ENSG00000125814,ENST00000377026,42,48,23355159,23402125,46967,99
CDC45,ENSG00000093009,ENST00000437685,64,69,19467414,19508134,40721,99
ADAM10,ENSG00000137845,ENST00000260408,54,63,58887403,59042177,154775,98
DENND4C,ENSG00000137145,ENST00000602925,49,53,19230433,19372856,142424,98
CHRNA7,ENSG00000175344,ENST00000454250,35,36,32322691,32461049,138359,98
CABLES1,ENSG00000134508,ENST00000256925,37,53,20715727,20840431,124705,98
DCP1B,ENSG00000151065,ENST00000280665,49,52,2055220,2113677,58458,98
PROSER2,ENSG00000148426,ENST00000277570,20,42,11865397,11914276,48880,98
SLC5A4,ENSG00000100191,ENST00000266086,64,64,32614465,32651328,36864,98
FBXL14,ENSG00000171823,ENST00000339235,29,67,1675159,1703331,28173,98
EIF2S2,ENSG00000125977,ENST00000374980,30,42,32676104,32700138,24035,98
ATAD3C,ENSG00000215915,ENST00000378785,47,57,1385069,1405538,20470,98
IDUA,ENSG00000127415,ENST00000247933,49,57,980785,998294,17510,98
C16orf45,ENSG00000166780,ENST00000300006,40,46,15528152,15682116,153965,97
ABCB5,ENSG00000004846,ENST00000404938,47,55,20654830,20796632,141803,97
SOS1,ENSG00000115904,ENST00000426016,62,72,39208537,39348192,139656,97
TXNDC16,ENSG00000087301,ENST00000281741,40,47,52897308,53019224,121917,97
CACNA1I,ENSG00000100346,ENST00000402142,53,53,39966758,40085742,118985,97
RCAN1,ENSG00000159200,ENST00000313806,32,53,35888782,35987441,98660,97
DNHD1,ENSG00000179532,ENST00000254579,51,57,6518526,6593252,74727,97
ZIM2,ENSG00000269699,ENST00000391708,53,69,57285930,57352097,66168,97
PKNOX1,ENSG00000160199,ENST00000291547,49,59,44394620,44453691,59072,97
DAZAP1,ENSG00000071626,ENST00000233078,43,46,1407612,1435686,28075,97
ADCYAP1,ENSG00000141433,ENST00000579794,29,48,905110,912173,7064,97
C3orf67,ENSG00000163689,ENST00000295966,38,52,58727733,59035810,308078,96
GAS2,ENSG00000148935,ENST00000454584,41,55,22688161,22834601,146441,96
STON1-GTF2A1L,ENSG00000068781,ENST00000394754,45,52,48796159,48906742,110584,96
MYOM2,ENSG00000036448,ENST00000262113,51,56,1993155,2093380,100226,96
KIAA2026,ENSG00000183354,ENST00000399933,49,48,5919008,6007787,88780,96
UNC13A,ENSG00000130477,ENST00000519716,52,53,17712137,17799008,86872,96
UBE2L3,ENSG00000185651,ENST00000458578,32,37,21903736,21976541,72806,96
MROH7,ENSG00000184313,ENST00000421030,52,57,55107466,55175932,68467,96
NT5C3A,ENSG00000122643,ENST00000242210,54,62,33053760,33102409,48650,96
IL3RA,ENSG00000185291,ENST00000331035,63,71,1455509,1501578,46070,96
ATAD3B,ENSG00000160072,ENST00000308647,54,58,1407149,1431582,24434,96
PTCHD4,ENSG00000244694,ENST00000339488,48,55,47845764,48036425,190662,95
RGS7BP,ENSG00000186479,ENST00000334025,39,60,63802126,63908139,106014,95
BBOX1,ENSG00000129151,ENST00000263182,36,52,27062509,27149354,86846,95
FCGBP,ENSG00000090920,ENST00000221347,49,52,40353963,40440533,86571,95
OLFM2,ENSG00000105088,ENST00000264833,53,61,9964394,10047228,82835,95
RAB27B,ENSG00000041353,ENST00000262094,35,48,52495430,52562747,67318,95
LRRC63,ENSG00000173988,ENST00000595396,21,22,46787170,46851501,64332,95
AKT2,ENSG00000105221,ENST00000392038,67,82,40736224,40791302,55079,95
MEGF8,ENSG00000105429,ENST00000334370,45,47,42829761,42882921,53161,95
STK17A,ENSG00000164543,ENST00000319357,34,49,43622664,43666385,43722,95
EPHA8,ENSG00000070886,ENST00000166244,47,51,22890057,22930087,40031,95
CDKL5,ENSG00000008086,ENST00000379989,60,68,18460308,18671745,211438,94
CGNL1,ENSG00000128849,ENST00000281282,31,57,57668703,57842925,174223,94
ASXL2,ENSG00000143970,ENST00000435504,49,61,25956622,26101385,144764,94
TTC17,ENSG00000052841,ENST00000039989,45,52,43380491,43516483,135993,94
EVA1C,ENSG00000166979,ENST00000300255,43,48,33784689,33887699,103011,94
PTK7,ENSG00000112655,ENST00000481273,62,64,43044552,43128748,84197,94
NDC1,ENSG00000058804,ENST00000371429,46,51,54231133,54304533,73401,94
PITPNB,ENSG00000180957,ENST00000335272,45,51,28247657,28315256,67600,94
KIAA1211,ENSG00000109265,ENST00000504228,43,55,57138570,57194791,56222,94
GDPD1,ENSG00000153982,ENST00000284116,50,54,57297834,57351873,54040,94
SGSM2,ENSG00000141258,ENST00000268989,55,60,2240806,2284344,43539,94
NKD2,ENSG00000145506,ENST00000296849,31,31,1008944,1039058,30115,94
SIRPD,ENSG00000125900,ENST00000381623,46,57,1514897,1539489,24593,94
TNKS,ENSG00000173273,ENST00000310430,46,56,9413424,9639856,226433,93
ANO6,ENSG00000177119,ENST00000423947,72,76,45609868,45825565,215698,93
SLMAP,ENSG00000163681,ENST00000295951,48,53,57741957,57914895,172939,93
VSNL1,ENSG00000163032,ENST00000406397,53,82,17722427,17838285,115859,93
RBKS,ENSG00000171174,ENST00000302188,30,42,28004231,28113965,109735,93
ITGA2,ENSG00000164171,ENST00000296585,76,80,52285156,52390609,105454,93
RHPN2,ENSG00000131941,ENST00000254260,72,80,33469499,33555794,86296,93
UBE2K,ENSG00000078140,ENST00000261427,29,46,39699664,39784412,84749,93
RRBP1,ENSG00000125844,ENST00000377807,54,59,17594323,17662928,68606,93
TRAP1,ENSG00000126602,ENST00000246957,44,49,3708038,3767598,59561,93
SLC25A37,ENSG00000147454,ENST00000519973,34,46,23386318,23432976,46659,93
GMEB1,ENSG00000162419,ENST00000294409,47,53,28995292,29041385,46094,93
ADAM18,ENSG00000168619,ENST00000265707,41,44,39442097,39587582,145486,92
MELK,ENSG00000165304,ENST00000298048,50,53,36572859,36677503,104645,92
PRTFDC1,ENSG00000099256,ENST00000320152,49,60,25137536,25241533,103998,92
GCH1,ENSG00000131979,ENST00000491895,45,59,55308734,55369570,60837,92
B4GALT1,ENSG00000086062,ENST00000379731,61,78,33110635,33167354,56720,92
PLCH2,ENSG00000149527,ENST00000449969,49,52,2398898,2436965,38068,92
TMEM39B,ENSG00000121775,ENST00000336294,45,48,32538503,32568462,29960,92
APC2,ENSG00000115266,ENST00000535453,44,47,1451288,1473237,21950,92
CDK11A,ENSG00000008128,ENST00000404249,36,35,1634320,1655763,21444,92
PBRM1,ENSG00000163939,ENST00000394830,54,57,52581857,52719852,137996,91
CDH6,ENSG00000113361,ENST00000265071,49,66,31193857,31329253,135397,91
MARCHF11,ENSG00000183654,ENST00000332432,30,41,16067248,16179884,112637,91
PPP1R21,ENSG00000162869,ENST00000294952,51,53,48667936,48742525,74590,91
ATL1,ENSG00000198513,ENST00000358385,57,66,51026743,51099786,73044,91
ZNF652,ENSG00000198740,ENST00000362063,35,64,47371927,47439835,67909,91
RNF38,ENSG00000137075,ENST00000259605,48,50,36336393,36400213,63821,91
RPGRIP1,ENSG00000092200,ENST00000400017,46,46,21756136,21819454,63319,91
RTFDC1,ENSG00000022277,ENST00000023939,41,52,55043647,55093943,50297,91
PRSS3,ENSG00000010438,ENST00000361005,64,78,33750515,33799229,48715,91
WDR76,ENSG00000092470,ENST00000263795,50,57,44119161,44160617,41457,91
IFFO1,ENSG00000010295,ENST00000356896,58,64,6648705,6665239,16535,91
RNF220,ENSG00000187147,ENST00000355387,60,70,44870866,45117395,246530,90
ADAMTS9,ENSG00000163638,ENST00000498707,54,65,64501490,64673676,172187,90
GTF2F2,ENSG00000188342,ENST00000340473,26,50,45694650,45858237,163588,90
NDRG3,ENSG00000101079,ENST00000349004,54,61,35280169,35374481,94313,90
BCAT1,ENSG00000060982,ENST00000539282,41,47,24970415,25056009,85595,90
MAPK14,ENSG00000112062,ENST00000229795,49,55,35995488,36079013,83526,90
DCUN1D4,ENSG00000109184,ENST00000334635,42,47,52709229,52783003,73775,90
USP6NL,ENSG00000148429,ENST00000277575,36,39,11502509,11574274,71766,90
AMPD3,ENSG00000133805,ENST00000396554,80,86,10472228,10528565,56338,90
EFHB,ENSG00000163576,ENST00000295824,53,55,19920964,19975672,54709,90
CROCC,ENSG00000058453,ENST00000375541,46,45,17248445,17299474,51030,90
TNFRSF10B,ENSG00000120889,ENST00000276431,70,77,22877646,22926692,49047,90
MPP2,ENSG00000108852,ENST00000269095,54,66,41952725,41985113,32389,90
ESCO2,ENSG00000171320,ENST00000305188,64,74,27631903,27662833,30931,90
VWA8,ENSG00000102763,ENST00000379310,51,54,42140973,42535220,394248,89
KCNH5,ENSG00000140015,ENST00000322893,56,59,63173287,63512173,338887,89
SMCHD1,ENSG00000101596,ENST00000320876,35,37,2655737,2805015,149279,89
SLC4A8,ENSG00000050438,ENST00000453097,54,58,51818555,51902118,83564,89
WIPF2,ENSG00000171475,ENST00000323571,45,59,38375574,38440388,64815,89
NSUN7,ENSG00000179299,ENST00000381782,40,50,40751914,40812002,60089,89
IGF2BP1,ENSG00000159217,ENST00000290341,42,58,47074774,47133012,58239,89
LMO3,ENSG00000048540,ENST00000540445,41,61,16703979,16760084,56106,89
SMARCB1,ENSG00000099956,ENST00000263121,80,86,24129161,24176703,47543,89
SHROOM4,ENSG00000158352,ENST00000376020,48,61,50334647,50557044,222398,88
SOX7,ENSG00000258724,ENST00000554914,32,42,10582909,10697357,114449,88
PRKAR2A,ENSG00000114302,ENST00000265563,43,47,48784012,48885279,101268,88
ZFR,ENSG00000056097,ENST00000265069,46,57,32354456,32444867,90412,88
STPG1,ENSG00000001460,ENST00000374409,42,61,24683489,24741587,58099,88
ONECUT2,ENSG00000119547,ENST00000491143,30,52,55102917,55158529,55613,88
ZNF131,ENSG00000172262,ENST00000509634,48,53,43121700,43176349,54650,88
NKTR,ENSG00000114857,ENST00000232978,34,45,42642106,42690227,48122,88
PKD1,ENSG00000008710,ENST00000262304,59,60,2138711,2185899,47189,88
VSTM2L,ENSG00000132821,ENST00000373461,29,35,36531506,36573752,42247,88
DENND5B,ENSG00000170456,ENST00000389082,36,42,31535157,31744031,208875,87
ZSWIM5,ENSG00000162415,ENST00000359600,52,63,45482071,45672228,190158,87
NIN,ENSG00000100503,ENST00000382041,54,59,51192558,51297839,105282,87
UHRF2,ENSG00000147854,ENST00000276893,42,52,6413323,6507054,93732,87
FAM63B,ENSG00000128923,ENST00000559228,38,44,59063513,59154099,90587,87
KIF18A,ENSG00000121621,ENST00000263181,43,50,28042167,28129855,87689,87
DUSP16,ENSG00000111266,ENST00000228862,36,67,12628829,12715317,86489,87
ADTRP,ENSG00000111863,ENST00000229583,50,58,11714611,11779036,64426,87
VWA3A,ENSG00000175267,ENST00000389398,45,47,22103863,22168287,64425,87
NEK4,ENSG00000114904,ENST00000233027,58,62,52744800,52804965,60166,87
SLC43A2,ENSG00000167703,ENST00000301335,47,54,1472561,1532130,59570,87
SFMBT2,ENSG00000198879,ENST00000361972,52,59,7200586,7451303,250718,86
NEK10,ENSG00000163491,ENST00000341435,35,40,27257098,27410912,153815,86
TRPM7,ENSG00000092439,ENST00000313478,46,49,50852492,50979012,126521,86
FAM65B,ENSG00000111913,ENST00000259698,40,43,24804513,24911195,106683,86
KIF15,ENSG00000163808,ENST00000326047,46,48,44803209,44894753,91545,86
PRR5L,ENSG00000135362,ENST00000378867,33,59,36397555,36486754,89200,86
CREM,ENSG00000095794,ENST00000345491,42,50,35416388,35501886,85499,86
WDTC1,ENSG00000142784,ENST00000361771,52,61,27561159,27634735,73577,86
EMC1,ENSG00000127463,ENST00000477853,61,68,19542158,19578046,35889,86
TRABD2B,ENSG00000269113,ENST00000606738,17,21,48226200,48462567,236368,85
R3HDM2,ENSG00000179912,ENST00000347140,44,47,57647547,57824788,177242,85
CYP19A1,ENSG00000137869,ENST00000396402,58,80,51500254,51630807,130554,85
INTS9,ENSG00000104299,ENST00000521022,50,55,28625178,28747481,122304,85
BACE2,ENSG00000182240,ENST00000330333,40,54,42539728,42648524,108797,85
CCDC149,ENSG00000181982,ENST00000504487,47,48,24807739,24914508,106770,85
LUZP1,ENSG00000169641,ENST00000302291,16,69,23410523,23504301,93779,85
FIP1L1,ENSG00000145216,ENST00000337488,47,48,54243812,54325835,82024,85
NPR3,ENSG00000113389,ENST00000265074,51,56,32711540,32791819,80280,85
STAU1,ENSG00000124214,ENST00000371856,44,57,47730060,47804904,74845,85
MRPS6,ENSG00000243927,ENST00000399312,22,60,35445823,35515334,69512,85
RANBP3,ENSG00000031823,ENST00000340578,54,56,5916150,5978151,62002,85
CTNNBIP1,ENSG00000178585,ENST00000377263,24,62,9908334,9970321,61988,85
HOOK1,ENSG00000134709,ENST00000371208,42,45,60280533,60342050,61518,85
BZW2,ENSG00000136261,ENST00000433922,41,47,16685759,16746137,60379,85
ELFN1,ENSG00000225968,ENST00000424383,9,37,1727755,1787590,59836,85
GNAS,ENSG00000087460,ENST00000371100,75,81,57427769,57486247,58479,85
NMT1,ENSG00000136448,ENST00000592782,46,55,43128978,43186384,57407,85
CCDC126,ENSG00000169193,ENST00000307471,16,59,23636998,23684327,47330,85
CEP104,ENSG00000116198,ENST00000378230,54,60,3728645,3773763,45119,85
NLRP7,ENSG00000167634,ENST00000588756,69,86,55434883,55477611,42729,85
SSPN,ENSG00000123096,ENST00000242729,38,63,26348429,26385888,37460,85
STK11,ENSG00000118046,ENST00000326873,41,42,1205740,1228428,22689,85
ASAP2,ENSG00000151693,ENST00000281419,53,57,9346894,9545807,198914,84
CSNK1G1,ENSG00000169118,ENST00000303052,45,54,64457716,64648386,190671,84
CASC4,ENSG00000166734,ENST00000299957,29,48,44580929,44707956,127028,84
ADCY3,ENSG00000138031,ENST00000260600,53,60,25042038,25142708,100671,84
FAM83B,ENSG00000168143,ENST00000306858,50,65,54711569,54806820,95252,84
KIAA0895,ENSG00000164542,ENST00000297063,44,57,36363830,36429734,65905,84
AKAP11,ENSG00000023516,ENST00000025301,41,53,42846289,42897396,51108,84
IFT172,ENSG00000138002,ENST00000260570,63,68,27667238,27712624,45387,84
CAPN14,ENSG00000214711,ENST00000403897,33,35,31397547,31440411,42865,84
YIPF4,ENSG00000119820,ENST00000238831,32,39,32502979,32541663,38685,84
XPO4,ENSG00000132953,ENST00000255305,50,55,21353014,21476949,123936,83
PRDM2,ENSG00000116731,ENST00000235372,33,47,14031350,14151574,120225,83
LGR4,ENSG00000205213,ENST00000379214,44,49,27387508,27494293,106786,83
GCNT2,ENSG00000111846,ENST00000379597,51,80,10528589,10629600,101012,83
PEMT,ENSG00000133027,ENST00000255389,34,45,17408877,17495014,86138,83
FAM188A,ENSG00000148481,ENST00000277632,45,51,15820169,15902519,82351,83
RPRD1A,ENSG00000141425,ENST00000399022,35,45,33569787,33647539,77753,83
STAM,ENSG00000136738,ENST00000377524,45,55,17686124,17757913,71790,83
CCDC169,ENSG00000242715,ENST00000503173,25,26,36801257,36871886,70630,83
RCL1,ENSG00000120158,ENST00000381750,47,56,4792869,4861064,68196,83
RUNX3,ENSG00000020633,ENST00000399916,36,51,25226002,25291501,65500,83
BMS1,ENSG00000165733,ENST00000374518,49,58,43278249,43330385,52137,83
SCGN,ENSG00000079689,ENST00000377961,51,56,25652464,25702011,49548,83
CSGALNACT2,ENSG00000169826,ENST00000374466,44,62,43633934,43680756,46823,83
BCOR,ENSG00000183337,ENST00000378444,59,62,39910501,39956656,46156,83
CSNK1G2,ENSG00000133275,ENST00000255641,36,43,1941188,1981337,40150,83
POLR3E,ENSG00000058600,ENST00000299853,63,70,22308730,22346424,37695,83
